ID,post_title,post_content,post_type,post_status,STREET_SUBURB,CONTACT,EMAIL,WEBSITE
97,MiCare - HCP VIC Metro North,"Our difference at MiCare, we understand your culture and why you want to be amongst people who speak your language. We know how important it is to be understood and because of this, we match staff to your language and cultural needs. Almost all our staff speak another language and have a non English speaking background. Let us know what you want and how we can make it happen.

If your home is the place you want to be at MiCare, we help you to live at home independently and you can choose from a range of services that will help you do this.  We understand how important it is for you to keep doing things for yourself and will be guided by you as to how much care and support you would like. 
With case management you decide how much help you would like in organising and booking your services which will be listed in what we call your ‘care plan’
",gd_place,publish,CARNEGIE,6.113E+11,michael.morgan@micare.com.au,https://www.micarehomecare.com.au/programs/home-care-packages
98,Baptist Village Baxter Care Packages,"At Village Baxter, we understand that people want to maintain their independence and continue to live in the comfort of their own homes for as long as possible. By providing support services that are personalised to your unique needs, we can assist with everything from help around the home, meals, personal care, shopping and even getting you out and about in your community, so that you can remain at home and still pursue your own personal interests. We partner with you to develop a personal home care service plan that includes a range of support services that are unique to your own personal needs. As your needs change over time, you can ask to have your agreement amended to ensure the support you receive is right for you. That's the advantage of a personalised approach. For more information please contact our friendly Home Care Coordinators on 59716308",gd_place,publish,FRANKSTON SOUTH,6.1036E+11,kimmale@villagebaxter.com,
99,Victorian Arabic Social Services,"VASS provides all levels of Home Care Packages to clients of all backgrounds throughout Victoria, with particular expertise in working with clients of Arabic Speaking Backgrounds.",gd_place,publish,BROADMEADOWS,6.10394E+11,mail@vass.org.au,http://www.vass.org.au
100,EGHS AT HOME East Grampians Health Service Home Care Packages,"East Grampians Health Service provide coordinated & person centred approach to our community clients’ needs. The Home Care Packages Program is part of the Government’s continuum of care for older Australians and is for people who have complex needs that can only be met by a coordinated package of care.  EGHS at Home provides support for people to manage and maintain their health and independence, enabling them to continue living at home.   We aim to work in partnership with the others who support you such as family, friends, local community groups, your doctor and other health professionals.  Our services include
 
* Help to stay healthy using our District Nursing and Allied Health Services and equipment to assist with mobility, personal care and home safety
* Personal assistance -  help with dressing, showering and meal management
* General support services - help with cleaning, shopping and household management

Contact us for more information tailored to your specific needs",gd_place,publish,ARARAT,6.10354E+11,jane.smith@eghs.net.au,http://www.eghs.net.au
101,Wintringham Community Housing and Support ( Loddon Mallee & Grampians),"Our Care Coordinators at Wintringham have small caseloads, so that you can be sure to receive a professional personalised service.
The relationship between you and Wintringham is really important to create the right package to meet your needs. Working through your goals, interests and preferences will help you to make informed choices about the services and assistance you’d like to receive.
It’s up to you how you would like your package to be managed. You can do a lot, or a little. It’s about what works best for you.
Wintringham will work in partnership with you to guide you through the government allocated budget and fee structure to create the right care plan that not only suits your needs but fits within the budget too.
Wintringham embraces all cultures, languages and religions without discrimination. Although we specialise in the assistance of people facing homelessness, we are also equipped and happy to support anyone interested in our Home Care Package services.",gd_place,publish,CRESWICK,6.1039E+11,macnotification@wintringham.org.au,http://www.wintringham.org.au/home_care_packages.html
102,MiCare - HCP VIC Metro West,"Our difference at MiCare, we understand your culture and why you want to be amongst people who speak your language. We know how important it is to be understood and because of this, we match staff to your language and cultural needs. Almost all our staff speak another language and have a non English speaking background. Let us know what you want and how we can make it happen.

If your home is the place you want to be at MiCare, we help you to live at home independently and you can choose from a range of services that will help you do this.  We understand how important it is for you to keep doing things for yourself and will be guided by you as to how much care and support you would like. 
With case management you decide how much help you would like in organising and booking your services which will be listed in what we call your ‘care plan’
",gd_place,publish,CARNEGIE,6.113E+11,michael.morgan@micare.com.au,https://www.micarehomecare.com.au/programs/home-care-packages
103,VIC - KinCare - Grampians,"At KinCare, we believe you deserve the best in-home care.

With over 25 years experience helping people live at home independently, our expert local team can help you get more out of your Home Care Package.  

We will support you in selecting the right services to suit your needs - whether it’s a helping hand in the garden, assistance with home maintenance, preparing meals, cleaning and household tasks, or support with travelling and social activities.

Why choose KinCare?
•  Support 24 hours a day, 7 days a week
•  Tailored solutions to support your health and happiness 
•  Quality service, guaranteed 
•  No exit fees.",gd_place,publish,NOTTING HILL,6.11301E+11,mail@kincare.com.au,http://www.kincare.com.au
104,Rochester and Elmore District Health Services Home Care Packages,"Rochester and Elmore District Health Service is your approved local provider
For most people, growing older means there are times you find it difficult to manage day – to – day activities. Rochester and Elmore District Health Service are here to help support you or your loved one choose the way you want to live.
Helping you or a loved one choose the way you want to live
A Home Care Package with Rochester and Elmore District Health (REDHS) provides the local support and services to assist you to maintain your independence, health, community participation and to help you live comfortably and safely in your own home, for as long as possible.
Funded by the Commonwealth Government, a Home Care Package can help you to continue doing the things that are important to you, as well as bring you pleasure and stay connected with your local community.  At Rochester and Elmore District Health Service we will work in partnership with you to tailor care and services to best support your needs.",gd_place,publish,ROCHESTER,6.10355E+11,intake@redhs.com.au,http://www.redhs.com.au/
105,Home Instead Melb Outer North East,,gd_place,publish,ELTHAM,6.10394E+11,karen.conte@hiscmelbouternortheast.com.au,http://https://homeinstead.com.au/
106,EACH Home Care Packages - Inner East Metro Melbourne,"EACH provides a range of services promoting wellness and healthy living for older people. We’re about much more than care though. We strive to maintain each person’s lifestyle and independence and we do this by listening and providing choice and flexibility. 

EACH Home Care Packages are an individually planned and coordinated suite of supports and services designed to assist older individuals to live comfortably in their home. We design your package around your unique care needs. 

The types of services that may be provided as part of a package include:
•	Transport to appointments and social support activities
•	Basic garden and home maintenance
•	Home cleaning
•	Meal preparation/support
•	Assistance with personal care
•	Nursing care, including medication management
•	Respite care
•	Case Management Support
•	Advocacy

To find out how we can help you or a loved one, please contact us:

Call 1300 003 224 or visit each.com.au
",gd_place,publish,BOX HILL,6.113E+11,hcpinnereastmelb@each.com.au,https://www.each.com.au
107,Comfort Care Group (Victoria),,gd_place,publish,CAMPBELLFIELD,6.10402E+11,info@comfortcaregroup.com.au,http://www.comfortcaregroup.com.au
108,Carer's Network Ballarat,,gd_place,publish,BALLARAT,6.10404E+11,candice.meinesz@carersnetwork.com.au,http://carersnetwork.com.au
109,Lively Home Care,"Lively Home Care is a unique model of care that welcomes you into a local community of young and older people supporting each other. Our purpose is not only to provide quality care and support for older community members, but also to offer meaningful employment for young jobseekers, and to build friendships, connections and understanding across the generations. Our service connects you with a friendly, enthusiastic and reliable young 'Helper' from your local community area, who will work with you consistently, flexibly and creatively to provide the care and support you're looking for. In turn, you'll be providing them with the chance to get to know you and learn from your lifetime of experience! You'll appreciate our unique approach if you like the idea of some youthful energy in the house, if you think care should also be fun, and if you believe - as we do - that young and older people have lots to offer each other, and lots to gain from connecting.",gd_place,publish,NORTH MELBOURNE,6.10391E+11,anna@lively.org.au,https://lively.org.au
110,Focus Home Care - Melbourne - South East,,gd_place,publish,PRESTON,6.1039E+11,info@focuscare.com.au,http://focushomecare.com.au
111,OSAN Ability Assist Melbourne,,gd_place,publish,DANDENONG,6.113E+11,melbourne@osanability.com.au,
112,Australian Unity Home Care Service - Outer East Metro,"Australian Unity is an experienced provider of home care services. We’re a mutual company, owned by members, rather than shareholders, that has been proudly supporting the wellbeing of Australians for more than 176 years.
You can rest assured that our friendly and reliable team members are carefully selected to ensure that each has the relevant experience and qualifications and that they satisfy our rigorous reference and police checks. 
We’ll take the time to get to know you, so we can create a support tailored to you. 
Depending on your needs, services we can offer you include personal care, shopping, cleaning and gardening, as well as allied health care services, such nursing, physiotherapy and podiatry. If there’s something that we can’t provide ourselves, we’ll do our best to find it for you.",gd_place,publish,BOX HILL,6.113E+11,,http://www.australianunity.com.au/home-services
113,HammondCare At Home - Southern Melbourne,"Life is all about making choices, and few are more important than those we make when caring for our loved ones. But having too many choices can be confusing. The HammondCare team are here to help make things simple and straightforward. As such, we are available to help guide you through the Home Care Package process with no obligation, or to answer any questions you might have. You can call us on 1800 826 166 or visit our website www.hammondca
reathome.com.au. We are here to help.",gd_place,publish,NORTH MELBOURNE,6.11801E+11,hellomelbourne@hammond.com.au,http://www.hammondcareathome.com.au
114,Programmed Care - VIC,,gd_place,publish,MELBOURNE,6.10393E+11,daniel.turbill@programmed.com.au,http://www.programed.com.au
115,BallyCara HomeCare Melbourne,"Embracing your individuality. Enhancing your strengths and abilities. Allowing you to prosper with real happiness. BallyCara supports you to live a fulfilling and independent life through our wellness approach. With no exit or basic daily fees and affordable hourly service rates, we support you to customise and maximise your home care package to promote your independence and enable you to live a fulfilling life in your own home and community. We commit to helping you through the journey by listening and exploring with you - your background, needs and preference, to design the optimal utilisation of funds making the process as simple as possible. We will welcome you with open arms, embrace your individuality and passions and support you to enhance your strengths and abilities. As a charitable organisation with an extensive history supporting and caring for people we are well-experienced to inspire healthy and happy living.",gd_place,publish,BUNDOORA,6.113E+11,melbourne@ballycara.com,http://www.ballycara.com
116,indigo@home Home Care Packages,"Alpine Health’s Home Care Program is delivered by alpine@home and indigo@home in the Alpine and Indigo Shires and greater North Eastern Victoria.
Our caring team of locally based staff will assist you to maintain your independence through the provision of targeted services, including; personal care, domestic assistance, delivered meals, District Nursing, social support groups and Case Management. Our experienced Case Managers provide a friendly, responsive and face to face service to address your needs and to support you to choose suitable services when, where and how you want them.
Our all-inclusive home care service gives you confidence that we will be there to care and support you when you need it most. Alpine Health is your trusted local Home Care Package approved provider. We will be there when you need us
",gd_place,publish,BEECHWORTH,6.10358E+11,julie.reilly@alpinehealth.org.au,https://www.alpinehealth.org.au
117,Just Home Care Packages TAS,"At Just Home Care Packages, with your direction, your dedicated Care Manager will set up the services you want from local suppliers at the times that suit you, and from there, you're the boss. 

When you part-manage your Home Care Package you get the perfect balance of choice and support. 

We charge a low flat fee of 17% and no other fees. We support you to continue using services you already have in place, or use our large list of suppliers to source the perfect supports for your unique situation.

We get to know you, and what you need to live at home the way you want to, and support you to achieve that. 

We take pride in delivering an exceptional level of customer service and ensuring that your dedicated Care Manager is always available to answer any questions you may have. 

This level of customised support at a 17% flat rate is unheard of.",gd_place,publish,MALVERN EAST,6.11301E+11,steph@justhcp.com.au,http://www.justhomecarepackages.com.au
118,Baptcare Home Care Eastern Metro,"Get a FREE CONSULTATION AT HOME to discuss how to best use your package

At Baptcare, we know living at home can mean the world. We make sure you have what you need to live independently and keep doing what’s important to you.

We’re ready to assist with everyday tasks such as housework, meal preparation, transport and personal care. Our team also includes skilled healthcare professionals to help you to stay safe and well—nurses, occupational therapists, physiotherapists, podiatrists, case managers, and diversional therapists.

Choose a not-for-profit care provider, that believes that everyone deserves the best of care. There are no daily fees and we offer care management options to suit you and your family.

Talk to a trusted, leading choice for home care with 70 years’ experience in aged care—Call 13 BAPTCARE (13 22 78) in business hours or visit Baptcare.org.au

COMMONWEALTH GOVERNMENT RECOGNISED",gd_place,publish,DANDENONG,61132278,enquiries@baptcare.org.au,http://baptcare.org.au/services/home-help/homecare-packages
119,Australian Unity Home Care Service - Greater Geelong,"Australian Unity is an experienced provider of home care services. We’re a mutual company, owned by members, rather than shareholders, that has been proudly supporting the wellbeing of Australians for more than 176 years.
You can rest assured that our friendly and reliable team members are carefully selected to ensure that each has the relevant experience and qualifications and that they satisfy our rigorous reference and police checks. 
We’ll take the time to get to know you, so we can create a support tailored to you. 
Depending on your needs, services we can offer you include personal care, shopping, cleaning and gardening, as well as allied health care services, such nursing, physiotherapy and podiatry. If there’s something that we can’t provide ourselves, we’ll do our best to find it for you.",gd_place,publish,MARSHALL,6.113E+11,customercare@austalianunity.com.au,http://www.australianunity.com.au/home-services
120,Senior Helpers Outer East Melbourne,Senior Helpers® is a franchise company that specialises in providing personal and companion care to individuals who want to maintain their independence in their homes or who need assistance in a facility. Our goal is to provide an exceptional client experience while helping clients maintain a high quality of life.,gd_place,publish,GREENSBOROUGH,6.10363E+11,csc@seniorhelpers.com.au,https://www.seniorhelpers.com.au
121,IWAA - Melbourne,,gd_place,publish,ENDEAVOUR HILLS,6.118E+11,melbourne@iwaa.org.au,http://www.iwaa.org.au
122,Carer's Network Northern,,gd_place,publish,CLAYTON,6.10405E+11,trish.ryan@carersnetwork.com.au,http://carersnetwork.com.au
123,Happy Living,"- As an innovative provider we offer superior value for multicultural Home Care Package holders to Self-Manage their care services.
- We offer languages such as: Chinese, Cantonese, Mandarin, Korean etc. 
- Happy Living offers the very low admin fee of 13% of your Home Care Package. 
-At Happy Living you will have the unique opportunity to self-manage your Home Care Package with the added bonus of team members who speak your language. Say hello to full control and flexibility!
- Our team has over 30 years of experience in aged care and we are experts at hosting Home Care Packages. We are dedicated to providing excellent service to our clients.
- At Happy Living our philosophy is that Chinese speaking Home Care Package holders should be able to live independently and happily in their own homes.

",gd_place,publish,MALVERN EAST,6.11301E+11,tina@happyliving.com.au,http://www.happyliving.com.au
124,Carer's Network,,gd_place,publish,CLAYTON,6.10405E+11,trish.ryan@carersnetwork.com.au,https://carersnetwork.com.au
125,Carer's Network Bendigo,,gd_place,publish,BENDIGO,6.10405E+11,trish.ryan@carersnetwork.com.au,http://carersnetwork.com.au
126,Better Living Homecare Vic,,gd_place,publish,MALVERN EAST,6.113E+11,hello@betterlivinghomecare.com.au,http://www.betterlivinghomecare.com.au
127,Just Home Care Packages NSW,"At Just Home Care Packages, with your direction your dedicated Care Manager will set up the services you want from local suppliers at the time that suits you, and from there, you're the boss. 

When you part-manage your Home Care Package you get the perfect balance of choice and support. 

We charge a low flat fee of 17% and no other fees. We support you to continue using services you already have in place, or use our large list of suppliers to source the perfect supports for your unique situation. 

We get to know you, and what you need to live at home the way you want to, and support you to achieve that. 

We take pride in delivering an exceptional level of customer service and ensuring that your dedicated Care Manager is always available to answer any questions you may have. 

This level of customised support at a 17% flat rate is unheard of.",gd_place,publish,MALVERN EAST,6.11301E+11,steph@justhcp.com.au,http://www.justhomecarepackages.com.au
128,Colac Ottway Shire Council Home Care Packages,,gd_place,publish,COLAC,6.10352E+11,terry.maisey@colacotway.vic.gov.au,http://www.colacotway.vic.gov.au
129,Uniting AgeWell Eastern Metro Home Care,"Uniting AgeWell supports seniors in Melbourne’s East to live well at home with choice and peace of mind. 

As a leading not-for-profit provider of aged care services in Victoria and Tasmania we are well prepared to assist you during COVID-19 and beyond.
All our staff are experienced with best practice infection management protocols, and trained to support customer outcomes.
We offer a great range of services including shopping, bill paying, support with attendance to medical appointments, personal care and coordination of services including home safety, household chores and gardening.  
Whether you need a little help or more intensive support, Uniting AgeWell’s experienced and dedicated staff are ready to support you to remain living at home and doing the things you love.  

Contact us today on:
T: 03 9845 3166
E: HCEast@unitingagewell.org
or visit unitingagewell.org
",gd_place,publish,FOREST HILL,6.10398E+11,hceast@unitingagewell.org,https://unitingagewell.org
130,Latrobe Community Health Service - Northern Metropolitan region,"Our health needs change as we age, but one thing stays the same: our desire to remain living in our own home. But navigating the complex world of aged care services can be overwhelming.
That’s where Latrobe Community Health Service can help. When you choose us to help coordinate your home care package, you’re choosing peace of mind.
Latrobe Community Health Service is an experienced and trusted provider of Home Care Packages in Victoria. We are not just a service provider though: we are advocates, working on behalf of our clients to ensure their Home Care Package is delivering everything they need to live happily and independently at home for longer.
Experienced and trusted
Latrobe Community Health Service has delivered home care services to thousands of clients throughout Victoria for more than 22 years.
Our clients stay with us because they trust us. They appreciate our reliability and our ‘no surprises’ approach to service delivery.
You are in control.",gd_place,publish,CHIRNSIDE PARK,6.118E+11,homecarepackages@lchs.com.au,http://bit.ly/lchshomecare
131,Just Better Care Melbourne West,"Reliable and affordable in-home aged care services, to help you live independently at home.  

Just Better Care Melbourne West is locally owned and operated. Living and working in the western suburbs of Melbourne, we understand you and your community.  

We’re easy to talk to and can help you understand your options. 

We can help you navigate the Home Care Package system, providing advice on applying for a package, service selection, budgeting, and much more.
 
We take the time to get to know you and provide the best services to meet your needs. 

Our tailored services include: 
-	Respite for carers
-	Help around the home
-	Personal care
-	Travel 
-	Meal preparation
-	Nursing
-	Overnight support
-	Dementia support
-	End of life support
-	Post hospital support.

We deliver the services you want and need - when and how they want them.  Speak to us today.  
",gd_place,publish,FOOTSCRAY,6.10391E+11,gianni.morales@justbettercare.com,
132,Australian Unity Home Care Service - Grampians,,gd_place,publish,BALLARAT,6.113E+11,customercare@australianunity.com.au,http://www.australianunity.com.au/home-services
133,Marain Home and Community Care,We ensured the care and services is aligned with other supports. Ensuring the care and services are culturally appropriate.,gd_place,publish,DEER PARK,6.113E+11,maree.v@marainhomecommunitycare.com,http://http://www.marainhomecommunitycare.com/
134,Jim's Home Care,,gd_place,publish,MAIDSTONE,6.10393E+11,james@jimshomecare.com.au,www.jimshomecare.com.au
135,Country to Coast Home Care Services,"Country to Coast Home Care Services was created to break down the fragmentation of the Aged Care System and provide a consistency of care with highly skilled staff working together as a team. 
CTC brings together a team of professionals who have worked together for many years in the community services and with home care packages. Our team includes registered nurses with specialties 
in continence, diabetes and wound management, working in partnership with allied health specialists and the Geelong Rehabilitation Centre. 
Our services are provided by our own staff and sub-contracted staff allowing for flexibility in meeting your needs and goals.",gd_place,publish,ANGLESEA,6.10407E+11,info@ctchomecare.com.au,http://www.ctchomecare.com.au
136,Australian Unity Home Care Service - Western Metro,"Australian Unity is an experienced provider of home care services. We’re a mutual company, owned by members, rather than shareholders, that has been proudly supporting the wellbeing of Australians for more than 176 years.
You can rest assured that our friendly and reliable team members are carefully selected to ensure that each has the relevant experience and qualifications and that they satisfy our rigorous reference and police checks. 
We’ll take the time to get to know you, so we can create a support tailored to you. 
Depending on your needs, services we can offer you include personal care, shopping, cleaning and gardening, as well as allied health care services, such nursing, physiotherapy and podiatry. If there’s something that we can’t provide ourselves, we’ll do our best to find it for you.",gd_place,publish,BALLARAT CENTRAL,6.113E+11,customercare@australianunity.com.au,http://www.australianunity.com.au/home-services
137,Serenity Housing,,gd_place,publish,CRANBOURNE,6.10385E+11,info@serenityhousing.com.au,
138,United Spanish Latin American Welfare Centre Inc. Home Care Package Program (HCPP),"United – Spanish Latin American Welfare Centre Inc. is a non-for-profit community agency and the only Spanish-speaking community organization providing Aged Care Support Services in Victoria. Established in 1977 and known as CELAS until 2014 by the initials of its name in Spanish. United has been providing support services to some 20 Spanish-speaking communities for more than 40 years and, at least three generations. 
United is founded by the Federal Government as a provider of Home Care Packages Program (HCPP) in Victoria. United employs Spanish speaking, qualified and experienced staff, and provides Spanish elders, and to elders from other communities, within the metropolitan area of Melbourne.


",gd_place,publish,MAIDSTONE,6.10393E+11,info@united.org.au,http://www.united.org.au
139,Baptcare Home Care Gippsland - Morwell Office,"Get a FREE CONSULTATION AT HOME to discuss how to best use your package

At Baptcare, we know living at home can mean the world. We make sure you have what you need to live independently and keep doing what’s important to you.

We’re ready to assist with everyday tasks such as housework, meal preparation, transport and personal care. Our team also includes skilled healthcare professionals to help you to stay safe and well—nurses, occupational therapists, physiotherapists, podiatrists, case managers, and diversional therapists.

Choose a not-for-profit care provider, that believes that everyone deserves the best of care. There are no daily fees and we offer care management options to suit you and your family.

Talk to a trusted, leading choice for home care with 70 years’ experience in aged care—Call 13 BAPTCARE (13 22 78) in business hours or visit Baptcare.org.au

COMMONWEALTH GOVERNMENT RECOGNISED
Services across Gippsland from our Morwell & Bairnsdale offices",gd_place,publish,MORWELL,61132278,enquiries@baptcare.org.au,http://baptcare.org.au/services/home-help/homecare-packages
140,alpine@home Home Care Packages,"Alpine Health’s Home Care Program is delivered by alpine@home and indigo@home in the Alpine and Indigo Shire communities. At Alpine Health, our aim is to support you to remain both in your own home and as an active part of your local community. Together, we will identify the things that matter to you and will develop a plan to work towards your goals and to help you retain your skills and, if you want, to learn new skills. Our caring team of locally based staff will assist you to maintain your independence through the provision of targeted services. Our experienced Case Managers provide a friendly, responsive and face to face service to address your needs and to support you to choose suitable services when, where and how you want them. Our all all-inclusive home care service gives you confidence that that we will be there to care and support you when you need it most. Alpine Health is your trusted local Home Care Package approved provider. We will be there when you need us",gd_place,publish,BRIGHT,6.10358E+11,julie.reilly@alpinehealth.org.au,https://www.alpinehealth.org.au
141,Baptcare Self-Managed Home Care Packages,"New & Innovative Self-Managed & Co-Managed Home Care Packages by Baptcare
•	No Basic Daily Fees or Exit Fees
•	Offering you choice and control in managing your home care package

My Best Life is a new and innovative service brought to you by Baptcare, focused on working collaboratively with our customers to develop new products and ways of working across all levels of Home Care Packages.  We offer you choice in the level of involvement you want managing your Home Care Package, supporting and enabling you to self manage or co-manage your package if you choose.

Our team of experienced professionals will work with you to co-design a suit of services and supports that represents the essence of what makes you, you.  

My Best Life is underpinned by the vast experience of Baptcare, a leading provider of Home Care Packages with over 25 years’ experience in Victoria.  

",gd_place,publish,CAMBERWELL,6.10389E+11,selfmanaged@baptcare.org.au,https://www.baptcare.org.au/services/home-care/self-managed-home-care
142,Uniting AgeWell Barwon Home Care,"Uniting AgeWell supports seniors in Barwon  Melbourne’s’ North West to live well at home with choice and peace of mind. 

As a leading not-for-profit provider of aged care services in Victoria and Tasmania we are well prepared to assist you during COVID-19 and beyond.
All our staff are experienced with best practice infection management protocols, and trained to support customer outcomes.
We offer a great range of services including shopping, bill paying, support with attendance to medical appointments, personal care and coordination of services including home safety, household chores and gardening.  

Whether you need a little help or more intensive support, Uniting AgeWell’s experienced and dedicated staff are ready to support you to remain living at home and doing the things you love.  

Contact us today on:
T: 03 5243 9566
E: HCBarwon@unitingagewell.org
or visit unitingagewell.org
",gd_place,publish,BELMONT,6.10352E+11,hcbarwon@unitingagewell.org,https://unitingagewell.org
143,Farris Care Services,"Farris Care Services provide home care packages and operates with the philosophy that one of the best places to remain healthy and independent is in the comfort and privacy of your own home.  The services we provide will be delivered in a way that promotes dignity, integrity and respect and is based on the principles of compassion, the dignity of the individual, and a commitment to excellence.  Eligible clients can access Farris Care Services through either a self-referral or other appropriate referral.",gd_place,publish,NORTH MELBOURNE,6.10413E+11,contact@farriscare.com.au,http://www.farriscare.com.au
144,Baptcare Home Care Gippsland - Bairnsdale Office,"Get a FREE CONSULTATION AT HOME to discuss how to best use your package

At Baptcare, we know living at home can mean the world. We make sure you have what you need to live independently and keep doing what’s important to you.

We’re ready to assist with everyday tasks such as housework, meal preparation, transport and personal care. Our team also includes skilled healthcare professionals to help you to stay safe and well—nurses, occupational therapists, physiotherapists, podiatrists, case managers, and diversional therapists.

Choose a not-for-profit care provider, that believes that everyone deserves the best of care. There are no daily fees and we offer care management options to suit you and your family.

Talk to a trusted, leading choice for home care with 70 years’ experience in aged care—Call 13 BAPTCARE (13 22 78) in business hours or visit Baptcare.org.au

COMMONWEALTH GOVERNMENT RECOGNISED
Services across Gippsland from our Morwell & Bairnsdale offices",gd_place,publish,BAIRNSDALE,61132278,enquiries@baptcare.org.au,http://baptcare.org.au/services/home-help/homecare-packages
145,Twin Parks Senior Care,,gd_place,publish,CAMPBELLFIELD,6.1037E+11,infohcp@twinparks.com.au,http://www.twinparks.com.au
146,Sunraysia Residential Services Inc.,SRS' Home Care service helps you live independently in your home for as long as you can and choose care and services that best meet your needs. SRS commits to a maximum of seven days from initial contact to implementation of services.,gd_place,publish,MILDURA,6.1035E+11,srs@srsinc.com.au,http://www.srsinc.com.au
147,Senior Helpers Eastern Suburbs.,Senior Helpers® is a franchise company that specialises in providing personal and companion care to individuals who want to maintain their independence in their homes or who need assistance in a facility. Our goal is to provide an exceptional client experience while helping clients maintain a high quality of life.,gd_place,publish,DANDENONG,6.10401E+11,csc@seniorhelpers.com.au,https://www.seniorhelpers.com.au
148,SPCARE,"No Exit fee, No out of pocket daily fee, 
www.spcare.com.au

Supreme Care provide home care supports to Elderly persons needing to maintain their independence and lifestyle in their own home comfortably.  

Our service rates are highly competitive and negotiable. We do not charge any exit fees or daily out of pocket fees. 

We offer a wide range of services including:
- companionship
- personal care
- domestic assistance
-  meal preparation
-  transport
-  shopping
-  Respite care
-  social support
 -gardening and lawn mowing.

Give us a call today and explore your options.


",gd_place,publish,SUNSHINE,6.11301E+11,info@spcare.com.au,http://www.spcare.com.au
149,VMCH - Eastern Metro HCP,,gd_place,publish,WANTIRNA SOUTH,6.11301E+11,hello@vmch.com.au,http://www.vmch.com.au
150,Beaufort and Skipton Home Care Packages,,gd_place,publish,BEAUFORT,6.10353E+11,yvettes@bshs.org.au,
151,Let's Get Care WA,"
- At Let's Get Care we help Home Care Package holders get up to double the care service hours than they would with a traditional provider, with the same funding.

- We have one unbeatable low flat fee of 13%. We have no set-up fee, no daily care fee, no exit fee and no surcharge for using service providers of your choice. 

- At Let's Get Care we empower our clients with full freedom and control of their funding. 

- With us, you can choose the care services you want, when you want and at a rate you're happy with. 

- Client choice and value is at the heart of everything we do, and that's what makes us Australia's fastest growing Home Care Package provider. 

- You’re in great hands at Let’s Get Care. Our team have over 30 years of experience in the aged care industry and understand how to best help clients thrive at home. 

- Call 1300 497 442 and speak with one of our friendly Care Experts today about how to get the most out of your Home Care Package funding.",gd_place,publish,MALVERN EAST,6.113E+11,hello@letsgetcare.com.au,http://www.letsgetcare.com.au
152,Carer's Network Western,,gd_place,publish,CLAYTON,6.10405E+11,trish.ryan@carersnetwork.com.au,http://carersnetwork.com.au
153,"MECWACARE Home Care Packages Level 1,2,3 & 4","mecwacare supports individuals to remain in their own homes independently and for as long as possible. The broad spectrum of services mecwacare provides enables our consumers to receive consistent high-quality care as their needs change. mecwacare will assign a qualified, experienced and skilled Care Advisor to assist to design and implement services in line with the goals and needs of consumers and their families. The Care Advisor is responsible for ensuring consumers get the best value out of their Home Care Package with services that are of a high quality, cost effective and offer a variety of choices to meet the needs of each unique consumer. mecwacare offers support to consumers of Home Care Packages 24 hours per day and 7 days per week.",gd_place,publish,MALVERN,6.10386E+11,homecarepackages@mecwacare.org.au,http://www.mecwacare.org.au
154,Uniting AgeWell Southern Metro Home Care,"Uniting AgeWell supports seniors in Melbourne’s south to live well at home with choice and peace of mind. 
A leading not-for-profit provider of aged care services in Victoria and Tasmania, our personalised Home Care Packages help you remain living at home, safely and independently, so you can keep doing the things that are important to you, that bring you pleasure and help you stay connected to your community. 

This may be having someone do your household chores, taking you to your weekly coffee catch up, weeding your garden or simply sharing a cuppa and having a chat.  The care you receive is tailored just for you. We can also support you with respite care, either in the home or through centre-based social groups.

Whether you need a little help or more intensive support, Uniting AgeWell’s experienced and dedicated staff are ready to support you to remain living at home and doing the things you love.  
Contact us today to find out how T: 1300 783 435 or visit unitingagewell.org",gd_place,publish,OAKLEIGH,6.10391E+11,hcsouth@unitingagewell.org,https://unitingagewell.org
155,Just Home Care Packages QLD,"At Just Home Care Packages with your direction your dedicated Care Manager will set up the services you want from local suppliers at the times that suit you, and from there, you're the boss. 

When you part-manage your Home Care Package you get the perfect balance of choice and support. 

We charge a low flat fee of 17% and no other fees. We support you to continue using services you already have in place, or use our large list of suppliers to source the perfect supports for your unique situation. 

We get to know you, and what you need to live at home the way you want to, and support you to achieve that. 

We take pride in delivering an exceptional level of customer service and ensuring that your dedicated Care Manager is always available to answer any questions you may have. 

This level of customised support at a 17% flat rate is unheard of.",gd_place,publish,MALVERN EAST,6.11301E+11,steph@justhcp.com.au,http://www.justhomecarepackages.com.au
156,"Southern Cross Care (SA, NT & VIC) Inc Community Services Mornington Peninsula","At Southern Cross Care, our approach to Home Care Packages is simple - quality services, tailored to your needs and delivered by a trusted team. We know that you have a life to live, and shouldn’t have to worry about coordinating services, budgets or suppliers. That is why we offer a full-service approach.       

Our services include;
•	Home cleaning and laundry services
•	Gardening and maintenance services
•	Transport and social outings
•	In-home exercise support
•	Allied Health services such as Physiotherapy
•	Nursing care and medication support

You will also be able to use your Package to buy equipment such as mobility and security devices, hearing or vision support devices, and even furniture such as chairs or beds. By taking up your Package with us, you will gain access to a range of benefits, and have the comfort of knowing that your services are provided by compassionate, police-checked staff and a not-for-profit that has your best interests at heart.",gd_place,publish,MORNINGTON,6.11801E+11,connecting.services@southerncrosscare.com.au,https://southerncrosscare.com.au
